,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
176,5th,4530,K‐8 School,88.73%,1.0,15.4,3.0,0.5,1.0,2.0,1.0,0.0,3.0,0.0,26.9,21142.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.6,62413.0,374.0,FY14
177,6th,8300,K‐8 School,64.70%,2.0,46.9,5.0,1.6,1.2,5.0,1.0,0.0,7.0,0.0,69.7,24765.0,0.0,5.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,6.2,139099.0,1135.0,FY14
178,3rd,1190,High School,70.50%,1.0,10.0,1.0,1.0,0.2,0.0,1.0,3.0,4.0,0.0,21.2,46956.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,26872.0,241.0,FY14
179,8th,7100,K‐8 School,80.28%,1.0,20.3,4.0,1.0,0.4,4.0,1.0,1.0,3.0,0.0,35.7,22924.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.4,158390.0,470.0,FY14
180,8th,6200,K‐8 School,71.86%,1.0,20.2,6.0,1.0,1.0,9.0,1.0,0.0,5.0,0.0,44.2,27974.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,76260.0,467.0,FY14
181,5th,2010,High School,76.79%,2.0,39.8,12.0,2.6,0.7,14.0,1.0,0.0,6.0,0.0,78.1,18029.0,0.0,5.2,0.0,0.2,0.0,4.0,0.0,7.0,0.0,0.0,16.4,37047.0,847.0,FY14
182,5th,4220,K‐8 School,86.30%,1.0,17.4,8.0,1.0,0.4,9.0,1.0,0.0,3.0,0.0,40.8,86396.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,52314.0,407.0,FY14
183,10th,8040,High School,35.38%,1.0,23.5,4.0,1.0,0.4,4.0,1.0,0.0,2.0,0.0,36.9,116133.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,27028.0,561.0,FY14
184,6th,8410,Elementary School,59.29%,1.0,30.5,7.0,1.2,0.6,6.0,1.0,0.0,5.0,0.0,52.3,36472.0,0.0,4.7,0.0,0.4,0.0,0.0,0.0,3.0,0.0,0.0,8.1,117355.0,789.0,FY14
185,7th,5490,Elementary School,86.49%,1.0,23.6,2.0,2.0,0.4,1.0,1.0,0.0,5.0,0.0,36.0,121826.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,107654.0,447.0,FY14
186,8th,6400,K‐12 School,72.41%,2.0,4.4,23.0,0.5,3.6,20.0,1.0,8.0,4.0,2.0,68.5,102241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11097.0,166.0,FY14
