,Council District,Economically Disadvantaged Rate,Organization Code,School Level,budget_year,enrollment,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Other,grant_fund: Principals/Assistant Principals,grant_fund: Secretaries,grant_fund: Student Climate Staff,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Support Services Assistants,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Total Positions,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Other,operating_fund: Principals/Assistant Principals,operating_fund: Secretaries,operating_fund: Student Climate Staff,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,operating_fund: Support Services Assistants,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Total Positions,projected_enrollment
24,8th,64.13%,6440,K‐8 School,FY18,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9526.0,2.0,4.0,0.2,6.2,6.0,1.0,2.0,0.0,1.0,1.0,4.0,44289.0,0.0,21.3,2.8,39.1,
25,8th,41.79%,6010,High School,FY18,2379.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,12857.0,0.0,3.5,0.2,3.9,2.0,5.2,2.0,0.0,4.0,2.0,2.0,161249.0,0.0,99.5,0.8,117.5,
26,7th,80.32%,7310,Elementary School,FY18,755.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,95750.0,5.0,4.0,0.2,11.7,11.0,1.7,1.0,0.0,2.0,1.0,8.0,62394.0,0.0,34.7,4.8,64.2,
27,5th,42.81%,4030,Middle Secondary,FY18,889.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,4449.0,0.0,0.0,0.2,1.7,2.0,1.5,1.0,0.4,1.0,1.0,3.0,205013.0,0.0,42.6,1.8,54.3,
28,6th,74.75%,8250,Elementary School,FY18,1229.0,0.0,0.1,0.0,1.0,0.0,0.0,5.0,74666.0,7.0,7.2,0.2,20.5,6.0,3.1,1.2,0.0,3.0,2.0,3.0,58540.0,0.0,44.8,7.8,70.9,
29,3rd,84.11%,1490,K‐8 School,FY18,450.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,229246.0,3.2,2.6,0.2,12.1,4.0,3.0,1.0,1.0,1.0,1.0,0.0,145689.0,1.8,24.6,2.8,40.1,
30,7th,86.46%,5680,K‐8 School,FY18,612.0,0.0,2.0,0.0,0.0,1.0,0.0,2.8,307934.0,2.0,4.9,0.2,12.9,13.0,2.0,1.0,1.0,2.0,1.0,0.2,47514.0,1.0,32.2,6.8,60.2,
31,5th,87.35%,4460,K‐8 School,FY18,691.0,0.0,2.0,0.0,1.0,0.8,0.0,3.0,191371.0,1.0,5.9,0.2,13.9,0.0,1.0,1.0,0.0,1.2,1.0,1.0,109784.0,1.0,26.1,3.8,36.1,
32,7th,84.13%,5330,K‐8 School,FY18,552.0,0.0,1.2,0.0,0.9,0.0,0.0,1.3,56736.0,2.0,5.4,0.2,11.1,17.0,1.4,2.0,0.0,1.0,1.0,4.7,62119.0,2.0,23.5,6.8,59.4,
33,4th,71.70%,6320,K‐8 School,FY18,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079.0,0.0,2.9,0.2,3.2,4.0,1.0,1.0,0.0,1.0,1.0,2.0,59647.0,0.0,16.3,2.8,29.1,
34,2nd,60.69%,2480,K‐8 School,FY18,261.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17769.0,0.0,3.8,0.2,5.0,8.0,1.0,2.0,0.0,1.0,1.0,2.0,22889.0,0.0,12.5,5.8,33.2,
35,6th,61.93%,7470,K‐8 School,FY18,817.0,0.0,0.4,0.0,0.0,0.0,0.0,6.0,54039.0,0.0,4.0,0.0,10.4,7.0,0.6,1.1,0.0,2.0,2.0,1.0,81142.0,0.0,34.7,9.0,57.4,
36,10th,49.90%,8160,Middle School,FY18,1440.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,18067.0,1.0,0.5,1.2,5.5,33.0,1.1,1.4,0.0,4.0,2.0,8.0,268934.0,0.0,70.5,16.8,136.8,
37,3rd,85.74%,4300,K‐8 School,FY18,544.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,238307.0,3.0,2.0,0.2,7.2,9.0,3.0,2.0,0.0,1.0,1.0,7.0,67339.0,1.0,30.3,5.8,60.1,
38,9th,72.94%,7270,K‐8 School,FY18,746.0,0.0,0.2,0.0,1.0,0.0,0.0,6.0,87828.0,2.0,7.4,1.2,17.8,6.0,1.2,1.0,0.0,1.0,1.0,0.0,131381.0,8.0,33.0,3.8,55.0,
39,4th,71.67%,6090,High School,FY18,491.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,120495.0,0.0,3.6,0.2,5.6,0.0,1.0,1.0,1.0,1.0,0.0,2.2,93287.0,0.0,25.6,2.8,34.6,
40,8th,83.10%,7390,K‐8 School,FY18,699.0,0.0,0.2,0.0,0.0,0.0,0.0,8.5,10416.0,3.0,7.0,0.2,19.0,8.0,2.4,1.0,0.0,2.0,1.0,0.5,72844.0,1.0,29.9,5.8,51.5,
41,5th,82.80%,5250,K‐8 School,FY18,279.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,175922.0,2.0,5.2,0.2,8.4,9.0,2.0,1.0,1.0,1.0,1.0,2.0,46954.0,0.0,16.1,3.8,36.9,
42,3rd,86.92%,1410,K‐8 School,FY18,555.0,0.0,0.6,0.0,1.0,1.0,0.0,7.0,55944.0,3.0,4.0,0.2,16.8,4.0,0.4,1.0,0.0,1.0,1.0,0.0,80794.0,0.0,25.4,3.8,36.6,
43,3rd,81.20%,1300,K‐8 School,FY18,497.0,0.0,0.6,0.0,0.8,0.0,0.0,0.0,7175.0,0.0,4.0,0.2,5.6,10.0,0.4,1.0,0.2,1.0,1.0,4.0,161756.0,4.0,20.0,6.8,48.4,
44,10th,46.87%,8420,K‐8 School,FY18,1040.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,21523.0,4.0,5.2,1.2,16.4,30.0,2.0,1.4,0.0,2.0,1.0,4.0,80159.0,1.0,41.2,10.8,93.4,
45,8th,75.35%,7130,Middle School,FY18,521.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,21119.0,0.0,3.0,0.2,5.0,11.0,0.2,1.0,0.0,1.0,1.0,5.0,127988.0,0.0,23.5,4.8,47.5,
46,1st,65.14%,2590,K‐8 School,FY18,374.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,42907.0,0.0,5.0,1.2,6.4,20.0,1.2,1.0,0.0,1.0,1.0,4.0,63604.0,0.0,17.4,7.8,53.4,
47,2nd,17.07%,2470,K‐8 School,FY18,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32520.0,2.6,5.2,0.2,8.0,17.0,1.0,1.0,0.0,1.0,1.0,4.0,48959.0,2.4,26.4,4.8,58.6,
48,2nd,40.49%,2020,High School,FY18,707.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74009.0,0.0,1.0,0.2,2.2,6.0,1.0,1.0,0.0,1.0,2.0,4.0,157478.0,0.0,32.1,3.8,50.9,
49,8th,72.15%,6230,K‐8 School,FY18,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,9074.0,0.0,2.8,0.2,3.8,9.0,1.0,1.0,0.0,1.0,1.0,1.2,26649.0,1.0,11.6,0.8,27.6,
50,5th,80.76%,5340,K‐8 School,FY18,320.0,1.0,0.6,0.0,0.0,0.0,0.0,4.0,31673.0,4.0,3.2,0.2,13.0,11.0,0.4,2.0,0.0,1.0,1.0,0.0,144139.0,1.0,16.2,7.8,40.4,
51,2nd,55.90%,2620,High School,FY18,921.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,4854.0,2.0,0.5,0.2,4.0,6.0,1.2,1.0,0.9,1.0,1.0,4.0,173485.0,0.0,40.1,1.8,57.0,
52,9th,75.99%,7280,K‐8 School,FY18,993.0,0.0,1.2,0.0,1.0,0.0,0.0,7.8,117435.0,14.0,6.2,0.2,30.4,5.0,2.4,1.2,0.0,2.0,1.0,4.3,131719.0,2.0,40.9,5.8,64.5,
