,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,projected_enrollment,budget_year
156,3rd,1350,K‐8 School,83.21%,1.0,19.1,6.0,0.0,1.0,8.0,1.0,3.0,1.4,0.0,40.5,155758.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,6.6,1.0,14.6,20259.0,373.0,FY19
157,4th,4240,Elementary School,73.02%,1.0,17.4,7.0,1.0,1.0,11.0,1.0,1.0,4.0,0.0,44.4,26953.0,1.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2,5276.0,370.0,FY19
158,10th,8020,High School,59.23%,4.0,154.7,18.0,8.2,3.0,16.0,4.0,0.0,15.0,0.0,222.9,674271.0,3.0,6.2,1.0,2.2,0.0,0.0,0.0,0.0,0.0,2.6,15.0,104330.0,3411.0,FY19
159,7th,8470,Middle Secondary,86.96%,1.0,9.2,5.0,0.2,0.3,0.0,1.0,0.0,2.0,1.0,19.7,132117.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2039.0,85.0,FY19
160,5th,5200,K‐8 School,51.38%,1.0,19.4,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,29.4,56033.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5784.0,398.0,FY19
161,2nd,1010,High School,73.48%,2.3,26.4,13.0,0.3,1.0,15.0,1.0,0.0,0.0,1.4,60.4,323625.0,0.7,0.8,0.0,2.7,0.0,0.0,0.0,0.0,5.0,3.0,12.2,33074.0,537.0,FY19
162,2nd,1440,K‐8 School,69.54%,2.0,21.5,13.0,0.5,1.0,26.0,1.0,0.0,1.0,1.0,67.0,106603.0,0.0,3.6,0.0,0.5,0.0,0.0,0.0,0.0,6.0,1.0,11.1,6162.0,472.0,FY19
163,10th,8360,Elementary School,67.57%,1.0,27.4,3.0,1.7,1.0,4.0,1.0,0.0,4.0,0.0,43.1,133763.0,0.0,5.0,0.0,0.5,0.0,0.0,0.0,6.0,0.0,0.0,11.5,87635.0,632.0,FY19
164,4th,2680,Middle Secondary,44.47%,1.0,25.2,3.0,1.0,1.0,5.0,0.0,0.0,2.0,1.0,39.2,79867.0,0.0,1.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3668.0,552.0,FY19
165,9th,7220,Elementary School,76.28%,2.0,38.5,8.0,2.5,2.1,13.0,1.0,1.0,1.0,0.0,69.1,111323.0,1.0,10.2,0.0,0.3,0.0,0.0,0.0,4.0,5.0,1.0,21.5,30178.0,940.0,FY19
